sample,resell,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,crash_buys
5y,75,33,0.8381,0.1296,-0.2394,0.1581,0.854,-0.23261084588739445,-0.024327213960785965,0.008,32
5y,75,34,0.8188,0.1272,-0.2394,0.1583,0.839,-0.23261084588739445,-0.034574619591585365,0.014666666666666666,31
5y,75,35,0.8188,0.1272,-0.2394,0.1583,0.839,-0.23261084588739445,-0.034574619591585365,0.014666666666666666,28
5y,75,36,0.8114,0.1263,-0.2394,0.1583,0.834,-0.23261084588739445,-0.034574619591585365,0.014666666666666666,30
5y,75,37,0.8114,0.1263,-0.2394,0.1583,0.834,-0.23261084588739445,-0.034574619591585365,0.014666666666666666,35
5y,75,38,0.8212,0.1276,-0.2394,0.1583,0.841,-0.23261084588739445,-0.029356535806211337,0.009333333333333334,39
5y,75,39,0.805,0.1255,-0.2394,0.1584,0.829,-0.23261084588739445,-0.029356535806211337,0.009333333333333334,42
5y,75,40,0.805,0.1255,-0.2394,0.1584,0.829,-0.23261084588739445,-0.029356535806211337,0.009333333333333334,44
5y,75,41,0.7714,0.1213,-0.2394,0.1594,0.801,-0.23261084588739445,-0.0474389754988932,0.02,46
5y,75,42,0.7714,0.1213,-0.2394,0.1594,0.801,-0.23261084588739445,-0.0474389754988932,0.02,42
5y,75,43,0.7714,0.1213,-0.2394,0.1594,0.801,-0.23261084588739445,-0.0474389754988932,0.02,40
5y,75,44,0.7821,0.1227,-0.2394,0.1599,0.807,-0.23261084588739445,-0.04170860721300684,0.018666666666666668,39
5y,75,45,0.7821,0.1227,-0.2394,0.1599,0.807,-0.23261084588739445,-0.04170860721300684,0.018666666666666668,38
5y,76,15,0.3931,0.0686,-0.2093,0.1317,0.572,-0.20223911136495443,-0.08621136294096221,0.09466666666666666,14
5y,76,16,0.3931,0.0686,-0.2093,0.1317,0.572,-0.20223911136495443,-0.08621136294096221,0.09466666666666666,15
5y,76,17,0.4483,0.077,-0.2093,0.1353,0.618,-0.20223911136495443,-0.08621136294096221,0.09466666666666666,21
5y,76,18,0.4483,0.077,-0.2093,0.1353,0.618,-0.20223911136495443,-0.08621136294096221,0.09466666666666666,21
5y,76,19,0.4593,0.0786,-0.2093,0.1354,0.629,-0.20223911136495432,-0.08621136294096221,0.08933333333333333,20
5y,76,20,0.4772,0.0813,-0.2093,0.1358,0.646,-0.20223911136495432,-0.08621136294096221,0.08933333333333333,20
5y,76,21,0.5318,0.0891,-0.2302,0.1448,0.665,-0.21862821168563729,-0.09390419675464179,0.04533333333333334,24
5y,76,22,0.5318,0.0891,-0.2302,0.1448,0.665,-0.21862821168563729,-0.09390419675464179,0.04533333333333334,25
5y,76,23,0.6937,0.1113,-0.2302,0.1502,0.781,-0.21496411855081266,-0.010592258587901804,0.004,29
5y,76,24,0.744,0.1178,-0.2302,0.1506,0.818,-0.21496411855081266,0.008802604081855847,0.0,31
5y,76,25,0.7436,0.1178,-0.2302,0.1509,0.817,-0.21937792103736387,0.008585807887248942,0.0,29
5y,76,26,0.7436,0.1178,-0.2302,0.1509,0.817,-0.21937792103736387,0.008585807887248942,0.0,29
5y,76,27,0.7727,0.1215,-0.2302,0.1512,0.837,-0.21937792103736387,0.025393341435479,0.0,33
5y,76,28,0.8878,0.1357,-0.2302,0.1569,0.893,-0.21937792103736387,0.025393341435479,0.0,37
5y,76,29,0.8813,0.1349,-0.2302,0.1569,0.889,-0.21937792103736387,0.025393341435479,0.0,36
5y,76,30,0.8903,0.136,-0.2302,0.1569,0.895,-0.21937792103736387,0.025393341435479,0.0,32
5y,76,31,0.8969,0.1368,-0.2302,0.157,0.899,-0.21937792103736387,0.025393341435479,0.0,29
5y,76,32,0.8333,0.129,-0.2394,0.1576,0.853,-0.23261084588739445,0.0080111107830112,0.0,31
5y,76,33,0.8333,0.129,-0.2394,0.1576,0.853,-0.23261084588739445,0.0080111107830112,0.0,32
