ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
150,0.05,0.25,30,1.5837,0.0623,-0.4081,0.1794,0.45
150,0.05,0.25,31,1.5971,0.0626,-0.4081,0.1794,0.452
150,0.05,0.5,28,1.8484,0.0689,-0.4081,0.187,0.474
150,0.05,0.5,29,2.0693,0.074,-0.4081,0.1881,0.5
150,0.05,0.5,30,2.1105,0.0749,-0.4081,0.1882,0.504
150,0.05,0.5,31,2.1266,0.0753,-0.4081,0.1883,0.506
150,0.05,0.75,28,2.403,0.0811,-0.4081,0.2014,0.514
150,0.05,0.75,29,2.667,0.0862,-0.4081,0.2024,0.537
150,0.05,0.75,30,2.7161,0.0872,-0.4081,0.2025,0.542
150,0.05,0.75,31,2.7354,0.0875,-0.4081,0.2025,0.543
175,0.0,0.0,28,1.0521,0.0468,-0.4802,0.173,0.37
175,0.0,0.0,29,1.068,0.0473,-0.4802,0.1738,0.372
175,0.0,0.0,30,1.0801,0.0477,-0.486,0.1739,0.374
175,0.0,0.0,31,1.0987,0.0483,-0.486,0.174,0.377
175,0.0,0.25,28,1.4579,0.0589,-0.4216,0.176,0.436
175,0.0,0.25,29,1.4771,0.0594,-0.4216,0.1768,0.438
175,0.0,0.25,30,1.4915,0.0598,-0.4281,0.1769,0.44
175,0.0,0.25,31,1.5138,0.0604,-0.4281,0.177,0.443
175,0.0,0.5,28,1.885,0.0698,-0.4081,0.1851,0.482
175,0.0,0.5,29,1.9075,0.0703,-0.4081,0.1858,0.484
175,0.0,0.5,30,1.9244,0.0707,-0.4081,0.186,0.485
175,0.0,0.5,31,1.9506,0.0713,-0.4081,0.186,0.489
175,0.0,0.75,28,2.3253,0.0795,-0.4081,0.1998,0.509
175,0.0,0.75,29,2.3512,0.08,-0.4081,0.2004,0.51
175,0.0,0.75,30,2.3707,0.0804,-0.4081,0.2006,0.512
175,0.0,0.75,31,2.4009,0.081,-0.4081,0.2006,0.515
175,0.02,0.0,28,1.4765,0.0594,-0.472,0.1861,0.423
175,0.02,0.0,29,1.4958,0.06,-0.472,0.1869,0.425
175,0.02,0.0,30,1.5104,0.0604,-0.478,0.187,0.427
175,0.02,0.0,31,1.5287,0.0608,-0.4789,0.187,0.43
175,0.02,0.25,28,1.8072,0.0679,-0.4188,0.1881,0.466
